producto;cantidad_g_ml;url_coto;tipo_producto;porcion
Higado;270;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-higado-x-kg/_/A-00000029-00000029-200;unidad;0.270
Pechito de cerdo;-;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-pechito-con-manta-de-cerdo-x-kg/_/A-00017410-00017410-200;unidad;
Pollo;1,65;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-pollo-congelado-x-kg/_/A-00042989-00042989-200;kilo;1.65
Carne de pescado;180;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-filete-de-merluza-despinado-congelado-x-kg/_/A-00039688-00039688-200;unidad;0.18
Mortadela;-;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mortadela-feteada-campo-austra-xkg/_/A-00034935-00034935-200;unidad;0.03
Paleta cocida;30;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-paleta-cocida-feteada-paladini-xkg/_/A-00038361-00038361-200;unidad;0.03
Salchich¢n;-;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-salchichon-c-jam-feteado-ebro-xkg/_/A-00034891-00034891-200;unidad;0.03
Salame;30;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-salame-milan-feteado-lario-x-150-grm/_/A-00524793-00524793-200;kilo;0.03
Aceite de girasol;1,2;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-aceite-girasol-alsamar-bot-900-ml/_/A-00467250-00467250-200;kilo;1.2
Margarina para cocinar;-;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-margarina-danica-200-grm/_/A-00256464-00256464-200;unidad;
Leche fluida;9,27;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-leche-entera-la-serenisima-3-sachet-1-l/_/A-00170599-00170599-200;kilo;
Leche en polvo entera;-;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-leche-en-polvo-nutrifuerza-la-lechera-800-grm/_/A-00522400-00522400-200;unidad;
Queso crema;80;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-queso-blanco-garcia-290gr/_/A-00531712-00531712-200;unidad;0.5
Queso cuartirolo;170;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cremoso-primera-marca-xkg/_/A-00037672-00037672-200;unidad;0.17
Queso de rallar;80;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-reggianito-xkg/_/A-00040610-00040610-200;kilo;0.08
Manteca;60;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-manteca-ciudad-del-lago-200-gr/_/A-00066423-00066423-200;kilo;0.06
Yogur;570;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yogur-entero-yatasto-frutilla-bebible-1-kg/_/A-00163156-00163156-200;kilo;0.570
Dulce de leche;110;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-dulce-de-leche-coto-pote-400-gr/_/A-00285028-00285028-200;kilo;0.110
Huevo;600;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-huevo-blanco-grand-maple-x-30-uni-30-uni/_/A-00032342-00032342-200;unidad;
Manzana;1,38;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-manzana-comercial-x-kg/_/A-00061002-00061002-200;kilo;1.38
Mandarina;1,14;;;
Naranja;1,35;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-naranja-jugo---xkg/_/A-00061005-00061005-200;kilo;1.35
Banana;810;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-banana-cavendish---xkg/_/A-00000446-00000446-200;kilo;0.810
Pera;270;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-pera-roja-bartlet--x-kg/_/A-00017118-00017118-200;unidad;0.270
Batata;510;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-batata-americana---xkg-1-kgm/_/A-00072044-00072044-200;kilo;0.510
Papa;6,51;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papa-negra-selec---xkg/_/A-00060947-00060947-200;kilo;6.51
Acelga;750;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-acelga-x-uni/_/A-00040156-00040156-200;kilo;0.750
Cebolla;1,38;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cebolla-a-granel-x-kg/_/A-00000602-00000602-200;kilo;1.38
Choclo;-;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-choclo-amarillo---xkg/_/A-00000614-00000614-200;kilo;
Lechuga;660;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-lechuga-criolla-x-kg/_/A-00000649-00000649-200;kilo;0.66
Tomate perita;1,44;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-tomate-perit----xkg/_/A-00000683-00000683-200;kilo;1.44
Zanahoria;540;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-zanahoria-seleccion---xkg/_/A-00000686-00000686-200;kilo;0.54
Zapallo;720;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-zapallo-anco-x-kg/_/A-00000688-00000688-200;kilo;0.72
Tomate envasado;240;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-tomate-perita-arcor---lata-400-gr/_/A-00047153-00047153-200;kilo;0.240
Arvejas en lata;120;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-arveja-coto-remojadas-lata-340-gr/_/A-00289321-00289321-200;kilo;0.120
Lentejas secas;120;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-lentejas-coto-bolsa-400-gr/_/A-00171605-00171605-200;kilo;0.120
