producto;cantidad_g_ml;url_coto;tipo_producto;porcion
Queso cuartirolo;170;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cremoso-primera-marca-xkg/_/A-00037672-00037672-200;unidad;0.17
Queso de rallar;80;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-reggianito-xkg/_/A-00040610-00040610-200;kilo;0.08
Manteca;60;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-manteca-ciudad-del-lago-200-gr/_/A-00066423-00066423-200;kilo;0.06
Yogur;570;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yogur-bebible-descremado-sabor-frutilla-milkaut-900g/_/A-00562324-00562324-200;kilo;0.570
Dulce de leche;110;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-dulce-de-leche-coto-pote-400-gr/_/A-00285028-00285028-200;kilo;0.110
Huevo;600;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-huevo-blanco-grand-maple-x-30-uni-30-uni/_/A-00032342-00032342-200;unidad;
Manzana;1,38;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-manzana-comercial-x-kg/_/A-00061002-00061002-200;kilo;1.38
Mandarina;1,14;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mandarina-murcot---xkg/_/A-00000516-00000516-200;kilo;1.14
Naranja;1,35;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-naranja-jugo---xkg/_/A-00061005-00061005-200;kilo;1.35
Banana;810;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-banana-cavendish---xkg/_/A-00000446-00000446-200;kilo;0.810
Pera;270;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-pera-packams-x-kg/_/A-00000544-00000544-200;unidad;0.270
Batata;510;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-batata-americana---xkg-1-kgm/_/A-00072044-00072044-200;kilo;0.510
Papa;6,51;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papa-blanca----xkg/_/A-00000695-00000695-200;kilo;6.51
Acelga;750;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-acelga-x-uni/_/A-00040156-00040156-200;kilo;0.750
Cebolla;1,38;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cebolla-a-granel-x-kg/_/A-00000602-00000602-200;kilo;1.38
Choclo;-;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-choclo-amarillo---xkg/_/A-00000614-00000614-200;kilo;
Lechuga;660;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-lechuga-criolla-x-kg/_/A-00000649-00000649-200;kilo;0.66
Tomate perita;1,44;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-tomate-perit----xkg/_/A-00000683-00000683-200;kilo;1.44
Zanahoria;540;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-zanahoria-seleccion---xkg/_/A-00000686-00000686-200;kilo;0.54
Zapallo;720;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-zapallo-anco-x-kg/_/A-00000688-00000688-200;kilo;0.72
Tomate envasado;240;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-tomate-perita-canale-lat-400-gr/_/A-00124508-00124508-200;kilo;0.240
Arvejas en lata;120;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-arvejas-la-campagnola-300-grm/_/A-00537451-00537451-200;kilo;0.120
Lentejas secas;120;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-lentejas-coto-bolsa-400-gr/_/A-00171605-00171605-200;kilo;0.120
Azucar;1,23;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-azucar-superior-real-ledesma-1kg/_/A-00218834-00218834-200;kilo;1.23
Dulce de batata;110;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-dce-batata--xkg-1-kgm/_/A-00042378-00042378-200;kilo;0.110
Mermelada;110;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mermelada-ciruela-emeth----pote-420-gr/_/A-00239579-00239579-200;kilo;0.110
Sal fina;120;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-sal-fina--celusal-paq-500-grm/_/A-00011362-00011362-200;kilo;0.12
Mayonesa;60;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mayonesa-clasica-hellmanns-950-grm/_/A-00530667-00530667-200;kilo;0.06
Vinagre;60;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-vinagre-de-alcohol-silva-960ml/_/A-00217862-00217862-200;kilo;0.06
Caldo concentrado;60;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-maggi-caldo-gallina-x-12u/_/A-00531124-00531124-200;kilo;0.06
Gaseosas;750;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-gaseosa-cunnington--cola-botella-3-l-/_/A-00460477-00460477-200;kilo;0.750
Jugos Concentrados;1,5;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-jugo-polvo-frutilla-arcor-sob-18-grm/_/A-00511825-00511825-200;kilo;1.5
Soda;1,2;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-soda-saldan-sifon-2-l/_/A-00286715-00286715-200;kilo;1.2
Cerveza;510;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cerveza--andes--botella-1-l/_/A-00478431-00478431-200;kilo;0.5
Vino;570;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-vino-tinto-pico-de-oro-1125ml/_/A-00546653-00546653-200;kilo;0.570
Cafe;30;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cafe-instantaneo-suave-y-espumo-arlistan-50g/_/A-00574336-00574336-200;kilo;0.03
Yerba;510;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-con-palo-pipore-1kg/_/A-00263027-00263027-200;kilo;0.510
Te en saquitos;-;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-te-green-hills-caja-100-saquitos/_/A-00001171-00001171-200;unidad;
