fecha,producto,precio
2023-02-20,carne_de_pescado,1499.0
2023-02-21,carne_de_pescado,1499.0
2023-02-22,carne_de_pescado,1499.0
2023-02-23,carne_de_pescado,1499.0
2023-02-24,carne_de_pescado,1590.0
2023-02-25,carne_de_pescado,1590.0
2023-02-26,carne_de_pescado,1590.0
2023-02-27,carne_de_pescado,1590.0
2023-02-28,carne_de_pescado,1590.0
2023-02-17,mortadela,1185.0
2023-02-18,mortadela,1185.0
2023-02-20,mortadela,1480.0
2023-02-21,mortadela,1480.0
2023-02-22,mortadela,1480.0
2023-02-23,mortadela,1480.0
2023-02-24,mortadela,1480.0
2023-02-25,mortadela,1480.0
2023-02-26,mortadela,1480.0
2023-02-27,mortadela,1185.0
2023-02-28,mortadela,1185.0
2023-02-17,paleta_cocida,1850.0
2023-02-18,paleta_cocida,1850.0
2023-02-20,paleta_cocida,1850.0
2023-02-21,paleta_cocida,1850.0
2023-02-22,paleta_cocida,1850.0
2023-02-23,paleta_cocida,1850.0
2023-02-24,paleta_cocida,1850.0
2023-02-25,paleta_cocida,1850.0
2023-02-26,paleta_cocida,1850.0
2023-02-27,paleta_cocida,1850.0
2023-02-28,paleta_cocida,1850.0
2023-02-17,salchich¢n,1285.0
2023-02-18,salchich¢n,1285.0
2023-02-20,salchich¢n,1285.0
2023-02-21,salchich¢n,1285.0
2023-02-22,salchich¢n,1285.0
2023-02-23,salchich¢n,1285.0
2023-02-24,salchich¢n,1285.0
2023-02-25,salchich¢n,1285.0
2023-02-26,salchich¢n,1285.0
2023-02-27,salchich¢n,1285.0
2023-02-28,salchich¢n,1285.0
2023-02-17,salame,2660.0
2023-02-18,salame,2660.0
2023-02-20,salame,2660.0
2023-02-21,salame,2660.0
2023-02-22,salame,2660.0
2023-02-23,salame,2660.0
2023-02-24,salame,2660.0
2023-02-25,salame,2660.0
2023-02-26,salame,2660.0
2023-02-27,salame,2660.0
2023-02-28,salame,2660.0
2023-02-17,aceite_de_girasol,556.92
2023-02-18,aceite_de_girasol,556.92
2023-02-20,aceite_de_girasol,556.92
2023-02-21,aceite_de_girasol,556.92
2023-02-22,aceite_de_girasol,556.92
2023-02-23,aceite_de_girasol,556.92
2023-02-24,aceite_de_girasol,556.92
2023-02-25,aceite_de_girasol,556.92
